,0,1
1798,5566032.365344373,4944168.309221049
1799,5565969.510859331,4944218.379743031
1800,5565978.03350137,4944297.214181898
1801,5566014.787395212,4944344.08871307
1802,5566168.72761705,4944359.536001769
1803,5566375.401686553,4944394.159235008
1804,5569629.985615656,4945145.21706453
1805,5569044.100659619,4947336.430150139
1806,5563496.782915734,4960099.630125469
1807,5563377.761160603,4960309.048150319
1808,5564917.460742538,4960825.647067675
1809,5564869.659610694,4960771.47245159
1810,5562643.549811273,4960467.862116836
1811,5562473.798463639,4960513.1930592945
1812,5564154.188113342,4959210.772415579
1813,5565155.598553252,4958588.619546527
1814,5565530.594803085,4958183.794049549
1815,5566133.57172757,4957265.479369535
1816,5565880.0231269365,4957780.033882731
1817,5565994.013464158,4957533.942593833
1818,5566966.659987437,4955673.875968049
1819,5566964.529326971,4955409.674064722
1820,5567066.801031473,4955586.518887089
1821,5567557.082031314,4955667.199699785
1822,5568163.812867241,4957095.431379662
1823,5566987.585532073,4955499.966600802
1824,5566913.761911802,4955254.390068061
1825,5566939.374188222,4955442.715629979
1826,5566969.50627816,4955751.569551502
1827,5566943.894001772,4954686.400173272
1828,5567573.654680826,4954606.550135019
1829,5567052.369525437,4954626.135993459
1830,5567806.14022869,4954445.550183681
1831,5565896.00308107,4957691.611471355
1832,5565846.997889331,4957883.370917295
1833,5565752.169845984,4958008.463085488
1834,5565288.135661449,4958498.109546457
1835,5565095.290286103,4958632.197346506
1836,5564962.709090514,4958674.382272375
1837,5564827.114685931,4958743.686079161
1838,5564534.833413863,4958962.143730968
1839,5564198.860611399,4959165.535337842
1840,5564097.7256104145,4959275.757560772
1841,5563991.192584893,4959432.36110829
1842,5563832.458376864,4959686.975039291
1843,5563169.82295815,4960521.128629111
1844,5563086.727198242,4960531.781931663
1845,5564656.147888463,4960761.91222522
1846,5564378.90132378,4960981.797431695
1847,5575399.019267473,4952509.432070862
1848,5575654.774323776,4953374.81785312
1849,5575620.896054393,4953697.602475641
1850,5575476.209386081,4952802.222175804
1851,5575479.736597679,4951133.205693581
1852,5575627.483495669,4953732.421808101
1853,5575706.532790985,4953847.2314989185
1854,5575341.792110703,4952056.938272221
1855,5575427.300130312,4952604.921570739
1856,5575707.4738541,4953897.107839964
1857,5575771.466140785,4954061.793871873
1858,5575820.401418839,4954150.253797584
1859,5575908.86134455,4954393.048061772
1860,5575899.450714191,4954494.682870012
1861,5581025.912745166,4948564.750834813
1862,5579300.452538891,4952232.367323093
1863,5579206.346234941,4952548.564504358
1864,5580147.409279288,4946774.201690828
1865,5578126.00586566,4953632.669125815
1866,5577026.844235557,4954159.664427918
1867,5576200.199464804,4954809.165258328
1868,5575952.658739697,4954542.992435634
1869,5559603.097263991,4962954.34293185
1870,5559880.083130354,4962832.895282749
1871,5567667.161249018,4946355.24089008
1872,5567921.791716027,4945956.394937328
1873,5576492.989569772,4954087.836908823
1874,5567477.878423985,4946616.6314579835
1875,5572133.316430274,4960167.410871955
1876,5564570.105851149,4960851.141004658
1877,5561921.255899531,4961767.56502743
1878,5560172.462727865,4962171.623613159
1879,5560354.046022714,4962485.143028097
1880,5562309.57857484,4960739.937035111
1881,5573309.187984125,4944231.837488341
1882,5573733.123266847,4944395.040790101
1883,5573812.328479105,4944434.6433962295
1884,5573147.693437153,4944171.199972824
1885,5573785.299699551,4944761.617213983
1886,5573742.629923317,4944860.084793248
1887,5573469.902411076,4944757.811976158
1888,5573161.866426267,4944647.016424309
1889,5571783.9863044415,4944190.140349614
1890,5571660.012928734,4944577.5571487
1891,5571524.283819324,4944929.484204807
1892,5572995.064331818,4945103.591500531
1893,5573299.447716155,4945219.257186411
1894,5573566.087560715,4945322.747537041
1895,5573670.275653135,4945051.927495809
1896,5567536.465965068,4946562.550650831
1897,5567099.312773943,4946774.367145487
1898,5572356.502241185,4944823.782047403
1899,5572721.194326566,4944998.16660107
1900,5570235.180036745,4947098.779582495
