indiv_id,trip_id,origin_taz,destination_taz,origin_departure_time,destination_arrival_time,travel_distance,origin_node,destination_node
8688,14145,94,244,1026,1032,3,723,997
27036,44405,94,2329,809,818,5,94,1731
84912,136344,94,691,720,736,4,2167,698
12392,20388,94,1131,1527,1539,6,728,15
69426,111769,94,2281,820,834,11,728,1826
83969,134807,94,2272,945,1002,7,94,370
46326,75339,97,1769,1712,1728,5,724,1769
16605,27304,97,2163,1148,1201,3,97,452
36350,59426,97,2314,1533,1539,3,2172,2205
39402,64246,97,1757,1642,1659,5,2170,2464
19591,32246,97,2272,1014,1030,7,2169,362
52088,84532,97,2343,1521,1547,15,1748,1132
72952,117573,97,2313,721,729,4,2169,2313
84343,135427,97,2325,856,908,6,2170,1522
2736,4310,97,2283,751,805,10,2173,1823
70175,112975,97,2256,1334,1347,4,2170,349
13506,22137,97,2327,1705,1711,4,97,546
83058,133412,97,2306,1722,1732,5,2173,1749
42494,69266,97,2267,845,907,12,97,1583
64004,103326,97,2369,1149,1237,34,711,1595
15158,24916,97,2257,833,849,4,315,317
53158,86209,97,331,1032,1046,4,2169,829
54881,88963,97,2316,1551,1612,6,1748,2315
6716,10929,97,2263,1304,1321,5,1748,2263
8889,14489,97,2319,1220,1236,9,315,2318
92981,148464,97,2306,1421,1431,5,1748,2423
22974,37901,97,327,1457,1506,4,97,1015
30171,49472,97,1051,1024,1036,3,2170,624
82006,131705,97,545,1238,1253,4,97,682
12454,20496,97,2322,1722,1738,8,2169,2467
4548,7218,97,1788,2030,2043,3,2172,559
41059,67031,97,2396,829,918,31,2169,1977
29516,48325,97,2281,1348,1402,10,2169,1826
55130,89390,97,2250,1906,1918,3,2169,334
75161,121065,97,2354,1812,1845,28,315,11
39179,63910,97,2329,1220,1228,5,2173,114
45296,73701,97,2387,1823,1911,26,711,1315
92092,147237,97,545,953,1008,4,2170,670
19566,32177,97,595,2133,2151,7,315,1945
21195,34881,97,2342,2211,2231,16,97,35
6417,10380,97,2318,1224,1242,9,724,1718
65405,105501,97,2369,1712,1800,34,2172,2463
48527,78795,97,2354,1457,1530,28,2173,11
40425,65995,97,545,1025,1040,4,724,681
17927,29577,97,73,831,846,12,711,1411
88550,141887,97,2354,2159,2232,28,97,974
15056,24772,97,166,1322,1333,6,2173,155
6611,10712,98,2359,2108,2144,23,710,596
85092,136660,98,2329,924,933,4,1753,1731
29834,48932,98,2352,1034,1112,20,1753,2103
44583,72570,98,2369,1813,1902,34,710,122
3252,5166,98,2325,1047,1059,6,348,1087
12653,20761,98,137,2041,2101,9,1753,1076
19353,31808,98,691,843,859,4,1753,691
10254,17002,98,2275,1443,1504,10,710,2425
95939,152978,98,2275,1751,1812,10,98,273
